[2025-05-31 13:35:01,256] 16 root - INFO - Initiate the data ingestion
[2025-05-31 13:35:02,648] 65 root - INFO - Performed train test split on the dataframe
[2025-05-31 13:35:02,648] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-05-31 13:35:02,652] 75 root - INFO - Exporting train and test file path.
[2025-05-31 13:35:02,707] 84 root - INFO - Exported train and test file path.
[2025-05-31 13:35:02,707] 18 root - INFO - Data Initiation Completed
[2025-05-31 13:35:02,715] 23 root - INFO - Initiate the data Validation
[2025-05-31 13:35:02,784] 32 root - INFO - Required number of columns:2
[2025-05-31 13:35:02,784] 33 root - INFO - Data frame has columns:31
[2025-05-31 13:35:02,785] 32 root - INFO - Required number of columns:2
[2025-05-31 13:35:02,785] 33 root - INFO - Data frame has columns:31
[2025-05-31 13:35:02,933] 25 root - INFO - data Validation Completed
